type	name	code	yyyymm	value
APT	서울특별시	11	201101	7.4
APT	종로구	11110	201101	7.6
APT	중구	11140	201101	7.4
APT	용산구	11170	201101	7.2
APT	성동구	11200	201101	7.2
APT	광진구	11215	201101	7.1
APT	동대문구	11230	201101	7.5
APT	중랑구	11260	201101	7.7
APT	성북구	11290	201101	7.4
APT	강북구	11305	201101	7.5
APT	도봉구	11320	201101	8
APT	노원구	11350	201101	7.6
APT	은평구	11380	201101	7.5
APT	서대문구	11410	201101	7.2
APT	마포구	11440	201101	7.4
APT	양천구	11470	201101	7.3
APT	강서구	11500	201101	7.6
APT	구로구	11530	201101	7.1
APT	금천구	11545	201101	7.7
APT	영등포구	11560	201101	7.2
APT	동작구	11590	201101	7.1
APT	관악구	11620	201101	7.4
APT	서초구	11650	201101	6.9
APT	강남구	11680	201101	7.5
APT	송파구	11710	201101	6.7
APT	강동구	11740	201101	8
APT	부산광역시	26	201101	7.5
APT	영도구	26200	201101	8.4
APT	부산진구	26230	201101	8
APT	동래구	26260	201101	7.7
APT	남구	26290	201101	7.1
APT	북구	26320	201101	7.2
APT	해운대구	26350	201101	7.1
APT	사하구	26380	201101	7.3
APT	금정구	26410	201101	7.7
APT	연제구	26470	201101	8
APT	수영구	26500	201101	8
APT	사상구	26530	201101	7.2
APT	기장군	26710	201101	8
APT	대구광역시	27	201101	7.6
APT	동구	27140	201101	7.8
APT	서구	27170	201101	8
APT	북구	27230	201101	7.8
APT	수성구	27260	201101	7.5
APT	달서구	27290	201101	7.3
APT	달성군	27710	201101	9.1
APT	인천광역시	28	201101	8.8
APT	중구	28110	201101	9.2
APT	동구	28140	201101	8.4
APT	미주홀구	28177	201101	9
APT	연수구	28185	201101	8.3
APT	남동구	28200	201101	8.8
APT	부평구	28237	201101	8.6
APT	계양구	28245	201101	9.2
APT	서구	28260	201101	9.5
APT	광주광역시	29	201101	9
APT	서구	29140	201101	8.9
APT	남구	29155	201101	9.5
APT	북구	29170	201101	9
APT	광산구	29200	201101	9
APT	대전광역시	30	201101	7.6
APT	동구	30110	201101	9
APT	중구	30140	201101	8.4
APT	서구	30170	201101	6.9
APT	유성구	30200	201101	7.1
APT	대덕구	30230	201101	9.2
APT	울산광역시	31	201101	8.7
APT	중구	31110	201101	8.6
APT	남구	31140	201101	8
APT	동구	31170	201101	7.8
APT	북구	31200	201101	9
APT	울주군	31710	201101	9.6
APT	세종특별자치시	36110	201101	10.9
APT	경기도	41	201101	8.7
APT	장안구	41111	201101	8.3
APT	권선구	41113	201101	8.9
APT	팔달구	41115	201101	8.5
