원본	매칭용처리후	법정동코드
강원도 강릉시	강원도 강릉시	4215000000
강원도 강릉시 강동면 모전리	강원도 강릉시 강동면 모전리	4215034022
강원도 강릉시 강동면 산성우리	강원도 강릉시 강동면 산성우리	4215034030
강원도 강릉시 강동면 상시동리	강원도 강릉시 강동면 상시동리	4215034021
강원도 강릉시 강동면 심곡리	강원도 강릉시 강동면 심곡리	4215034029
강원도 강릉시 강동면 안인리	강원도 강릉시 강동면 안인리	4215034023
강원도 강릉시 강동면 안인진리	강원도 강릉시 강동면 안인진리	4215034024
강원도 강릉시 강동면 언별리	강원도 강릉시 강동면 언별리	4215034031
강원도 강릉시 강동면 임곡리	강원도 강릉시 강동면 임곡리	4215034025
강원도 강릉시 강동면 정동진리	강원도 강릉시 강동면 정동진리	4215034028
강원도 강릉시 강동면 하시동리	강원도 강릉시 강동면 하시동리	4215034026
강원도 강릉시 강문동	강원도 강릉시 강문동	4215011300
강원도 강릉시 견소동	강원도 강릉시 견소동	4215011500
강원도 강릉시 교동	강원도 강릉시 교동	4215011000
강원도 강릉시 구정면 구정리	강원도 강릉시 구정면 구정리	4215033023
강원도 강릉시 구정면 금광리	강원도 강릉시 구정면 금광리	4215033024
강원도 강릉시 구정면 덕현리	강원도 강릉시 구정면 덕현리	4215033026
강원도 강릉시 구정면 어단리	강원도 강릉시 구정면 어단리	4215033025
강원도 강릉시 구정면 여찬리	강원도 강릉시 구정면 여찬리	4215033021
강원도 강릉시 구정면 제비리	강원도 강릉시 구정면 제비리	4215033027
강원도 강릉시 구정면 학산리	강원도 강릉시 구정면 학산리	4215033022
강원도 강릉시 금학동	강원도 강릉시 금학동	4215010600
강원도 강릉시 난곡동	강원도 강릉시 난곡동	4215013600
강원도 강릉시 남문동	강원도 강릉시 남문동	4215010200
강원도 강릉시 남항진동	강원도 강릉시 남항진동	4215013000
강원도 강릉시 내곡동	강원도 강릉시 내곡동	4215011600
강원도 강릉시 노암동	강원도 강릉시 노암동	4215012100
강원도 강릉시 담산동	강원도 강릉시 담산동	4215012000
강원도 강릉시 대전동	강원도 강릉시 대전동	4215013400
강원도 강릉시 두산동	강원도 강릉시 두산동	4215012700
강원도 강릉시 명주동	강원도 강릉시 명주동	4215010300
강원도 강릉시 박월동	강원도 강릉시 박월동	4215011900
강원도 강릉시 병산동	강원도 강릉시 병산동	4215012900
강원도 강릉시 사천면 노동리	강원도 강릉시 사천면 노동리	4215036022
강원도 강릉시 사천면 덕실리	강원도 강릉시 사천면 덕실리	4215036026
강원도 강릉시 사천면 미노리	강원도 강릉시 사천면 미노리	4215036021
